YDL124W	YDL124W
YDL125C	HNT1
YDL126C	CDC48
YDL127W	PCL2
YDL128W	VCX1
YDL129W	YDL129W
YDL130W	RPP1B
YDL131W	LYS21
YDL132W	CDC53
YDL133W	YDL133W
YDL134C	PPH21
YDL135C	RDI1
YDL136W	RPL35B
YDL137W	ARF2
YDL138W	RGT2
YDL139C	SCM3
YDL140C	RPO21
YDL141W	BPL1
YDL142C	CRD1
YDL143W	CCT4
YDL144C	YDL144C
YDL145C	COP1
YDL146W	YDL146W
YDL147W	RPN5
YDL148C	NOP14
YDL149W	APG9
YDL150W	RPC53
YDL151C	FYV3
YDL152W	YDL152W
YDL153C	SAS10
YDL154W	MSH5
YDL155W	CLB3
YDL156W	YDL156W
YDL157C	YDL157C
YDL158C	YDL158C
YDL159W	STE7
YDL160C	DHH1
YDL161W	ENT1
YDL162C	YDL162C
YDL163W	YDL163W
YDL164C	CDC9
YDL165W	CDC36
YDL166C	YDL166C
YDL167C	NRP1
YDL168W	SFA1
YDL169C	UGX2
YDL170W	UGA3
YDL171C	GLT1
YDL172C	YDL172C
YDL173W	YDL173W
YDL174C	DLD1
YDL175C	YDL175C
YDL176W	YDL176W
YDL177C	YDL177C
YDL178W	AIP2
YDL179W	PCL9
YDL180W	YDL180W
YDL181W	INH1
YDL182W	LYS20
YDL183C	YDL183C
YDL184C	RPL41A
YDL185W	TFP1
YDL186W	YDL186W
YDL187C	YDL187C
YDL188C	PPH22
YDL189W	YDL189W
YDL190C	UFD2
YDL191W	RPL35A
YDL192W	ARF1
YDL193W	YDL193W
YDL194W	SNF3
YDL195W	SEC31
YDL196W	YDL196W
YDL197C	ASF2
YDL198C	YHM1
YDL199C	YDL199C
YDL200C	MGT1
YDL201W	YDL201W
YDL202W	MRPL11
YDL203C	YDL203C
YDL204W	YDL204W
YDL205C	HEM3
YDL206W	YDL206W
YDL207W	GLE1
YDL208W	NHP2
YDL209C	YDL209C
YDL210W	UGA4
YDL211C	YDL211C
YDL212W	SHR3
YDL213C	FYV14
YDL214C	PRR2
YDL215C	GDH2
YDL216C	RRI1
YDL217C	TIM22
YDL218W	YDL218W
YDL219W	YDL219W
YDL220C	CDC13
YDL221W	YDL221W
YDL222C	YDL222C
YDL223C	YDL223C
YDL224C	WHI4
YDL225W	SHS1
YDL226C	GCS1
YDL227C	HO
YDL228C	YDL228C
YDL229W	SSB1
YDL230W	PTP1
YDL231C	BRE4
YDL232W	OST4
YDL233W	YDL233W
YDL234C	GYP7
YDL235C	YPD1
YDL236W	PHO13
YDL237W	YDL237W
YDL238C	YDL238C
YDL239C	ADY3
YDL240W	LRG1
YDL241W	YDL241W
YDL242W	YDL242W
YDL243C	AAD4
YDL244W	THI13
YDL245C	HXT15
YDL246C	YDL246C
YDL247W	YDL247W
YDR001C	NTH1
YDR002W	YRB1
YDR003W	YDR003W
YDR004W	RAD57
YDR005C	MAF1
YDR006C	SOK1
YDR007W	TRP1
YDR008C	YDR008C
YDR009W	GAL3
YDR010C	YDR010C
YDR011W	SNQ2
YDR012W	RPL4B
YDR013W	YDR013W
YDR014W	YDR014W
YDR015C	YDR015C
YDR016C	DAD1
YDR017C	KCS1
YDR018C	YDR018C
YDR019C	GCV1
YDR020C	YDR020C
YDR021W	FAL1
YDR022C	CIS1
YDR023W	SES1
YDR024W	FYV1
YDR025W	RPS11A
YDR026C	YDR026C
YDR027C	LUV1
YDR028C	REG1
YDR029W	YDR029W
YDR030C	RAD28
YDR031W	YDR031W
YDR032C	PST2
YDR033W	MRH1
YDR034C	LYS14
YDR034C-A	YDR034C-A
YDR035W	ARO3
YDR036C	YDR036C
YDR037W	KRS1
YDR038C	ENA5
YDR039C	ENA2
YDR040C	ENA1
YDR041W	RSM10
YDR042C	YDR042C
YDR043C	NRG1
YDR044W	HEM13
YDR045C	RPC11
YDR046C	BAP3
YDR047W	HEM12
YDR048C	YDR048C
YDR049W	YDR049W
YDR050C	TPI1
YDR051C	YDR051C
YDR052C	DBF4
YDR053W	YDR053W
YDR054C	CDC34
YDR055W	PST1
YDR056C	YDR056C
YDR057W	YDR057W
YDR058C	TGL2
YDR059C	UBC5
YDR060W	MAK21
YDR061W	YDR061W
YDR062W	LCB2
YDR063W	YDR063W
YDR064W	RPS13
YDR065W	YDR065W
YDR066C	YDR066C
YDR067C	YDR067C
YDR068W	DOS2
YDR069C	DOA4
YDR070C	YDR070C
YDR071C	YDR071C
YDR072C	IPT1
YDR073W	SNF11
YDR074W	TPS2
YDR075W	PPH3
YDR076W	RAD55
YDR077W	SED1
YDR078C	YDR078C
YDR079W	PET100
YDR080W	VPS41
YDR081C	PDC2
YDR082W	STN1
YDR083W	RRP8
YDR084C	YDR084C
YDR085C	AFR1
YDR086C	SSS1
YDR087C	RRP1
YDR088C	SLU7
YDR089W	YDR089W
YDR090C	YDR090C
YDR091C	RLI1
YDR092W	UBC13
YDR093W	YDR093W
YDR094W	YDR094W
YDR095C	YDR095C
YDR096W	GIS1
YDR097C	MSH6
YDR098C	GRX3
YDR099W	BMH2
YDR100W	YDR100W
YDR101C	YDR101C
YDR102C	YDR102C
YDR103W	STE5
YDR104C	SPO71
YDR105C	YDR105C
YDR106W	ARP10
